Bank Name,Acquiring Institution,Numbers,date
Washington Federal Bank for Savings,Royal Savings Bank,7,12/15/2017
The Farmers and Merchants State Bank of Argonia,Conway Bank,0,10/13/2017
Fayette County Bank,"United Fidelity Bank, fsb",16,5/26/2017
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",First-Citizens Bank & Trust Company,4,5/5/2017
First NBC Bank,Whitney Bank,41,4/28/2017
Proficio Bank,Cache Valley Bank,10,3/3/2017
Seaway Bank and Trust Company,State Bank of Texas,2,1/27/2017
Harvest Community Bank,First-Citizens Bank & Trust Company,0,1/13/2017
Allied Bank,Today's Bank,75,9/23/2016
The Woodbury Banking Company,United Bank,93,8/19/2016
First CornerStone Bank,First-Citizens Bank & Trust Company,0,5/6/2016
Trust Company Bank,The Bank of Fayette County,2,4/29/2016
North Milwaukee State Bank,First-Citizens Bank & Trust Company,68,3/11/2016
Hometown National Bank,Twin City Bank,3,10/2/2015
The Bank of Georgia,Fidelity Bank,2,10/2/2015
Premier Bank,"United Fidelity Bank, fsb",10,7/10/2015
Edgebrook Bank,Republic Bank of Chicago,2,5/8/2015
Doral Bank,Banco Popular de Puerto Rico,4,2/27/2015
Capitol City Bank & Trust Company,First-Citizens Bank & Trust Company,0,2/13/2015
Highland Community Bank,"United Fidelity Bank, fsb",10,1/23/2015
First National Bank of Crestview,First NBC Bank,1,1/16/2015
Northern Star Bank,BankVista,14,12/19/2014
"Frontier Bank, FSB D/B/A El Paseo Bank","Bank of Southern California, N.A.",23,11/7/2014
The National Republic Bank of Chicago,State Bank of Texas,2,10/24/2014
NBRS Financial,Howard Bank,16,10/17/2014
"GreenChoice Bank, fsb","Providence Bank, LLC",0,7/25/2014
Eastside Commercial Bank,Community & Southern Bank,3,7/18/2014
The Freedom State Bank,Alva State Bank & Trust Company,12,6/27/2014
Valley Bank,"Landmark Bank, National Association",1,6/20/2014
Valley Bank,Great Southern Bank,7,6/20/2014
Slavie Federal Savings Bank,"Bay Bank, FSB",3,5/30/2014
Columbia Savings Bank,"United Fidelity Bank, fsb",5,5/23/2014
AztecAmerica Bank ,Republic Bank of Chicago,7,5/16/2014
Allendale County Bank,Palmetto State Bank,0,4/25/2014
Vantage Point Bank,First Choice Bank,8,2/28/2014
"Millennium Bank, National Association",WashingtonFirst Bank,7,2/28/2014
Syringa Bank,Sunwest Bank,6,1/31/2014
The Bank of Union,BancFirst,10,1/24/2014
DuPage National Bank,Republic Bank of Chicago,0,1/17/2014
"Texas Community Bank, National Association","Spirit of Texas Bank, SSB",10,12/13/2013
Bank of Jackson County,First Federal Bank of Florida,1,10/30/2013
First National Bank also operating as The National Bank of El Paso ,PlainsCapital Bank,7,9/13/2013
The Community's Bank,No Acquirer,12,9/13/2013
